seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
Com -0.90943 0.3012 0.28672 4.32 -0.84083 0.46757 0.27273 4.23
Com -0.84083 0.46757 0.27273 4.23 -0.87465 0.47361 0.10329 4.35
CrA 0.14897 -0.62009 0.77026 5.11 0.19461 -0.60658 0.77084 5.36
CrA 0.19461 -0.60658 0.77084 5.36 0.20212 -0.6033 0.77148 4.83
CrA 0.20212 -0.6033 0.77148 4.83 0.22803 -0.60268 0.76471 4.23
CrA 0.22803 -0.60268 0.76471 4.23 0.23554 -0.61434 0.75307 4.11
CrA 0.23554 -0.61434 0.75307 4.11 0.23266 -0.63393 0.73757 4.1
CrA 0.23266 -0.63393 0.73757 4.1 0.22344 -0.6494 0.72688 4.57
CrA 0.22344 -0.6494 0.72688 4.57 0.20178 -0.67036 0.71408 4.74
CrA 0.20178 -0.67036 0.71408 4.74 0.17865 -0.67829 0.71275 5.35
CrA 0.14897 -0.62009 0.77026 5.11 0.10826 -0.63882 0.76171 5.16
CrB -0.51113 0.52041 0.68406 4.14 -0.53842 0.48642 0.68811 3.66
CrB -0.53842 0.48642 0.68811 3.66 -0.52917 0.44956 0.71964 2.22
CrB -0.52917 0.44956 0.71964 2.22 -0.50539 0.44301 0.7405 3.81
CrB -0.50539 0.44301 0.7405 3.81 -0.48397 0.43945 0.75674 4.59
CrB -0.48397 0.43945 0.75674 4.59 -0.45408 0.4521 0.76774 4.14
CrB -0.45408 0.4521 0.76774 4.14 -0.42892 0.49775 0.75384 4.98
Crt -0.91684 -0.31397 -0.24661 4.08 -0.90126 -0.38792 -0.19297 4.46
Crt -0.90126 -0.38792 -0.19297 4.46 -0.94158 -0.30376 -0.14541 4.06
Crt -0.94158 -0.30376 -0.14541 4.06 -0.95174 -0.25509 -0.17063 3.56
Crt -0.95174 -0.25509 -0.17063 3.56 -0.91684 -0.31397 -0.24661 4.08
Crt -0.95174 -0.25509 -0.17063 3.56 -0.9704 -0.18839 -0.15105 4.81
Crt -0.9704 -0.18839 -0.15105 4.81 -0.9803 -0.17024 -0.10008 4.7
Crt -0.9803 -0.17024 -0.10008 4.7 -0.95538 -0.29488 -0.0166 5.17
Crt -0.95538 -0.29488 -0.0166 5.17 -0.94705 -0.31483 -0.06305 4.71
Crt -0.94705 -0.31483 -0.06305 4.71 -0.94158 -0.30376 -0.14541 4.06
